0xC6F6	U+3050	U+F706	# HIRAGANA LETTER GU
0xC6F7	U+3051	U+F707	# HIRAGANA LETTER KE
0xC6F8	U+3052	U+F708	# HIRAGANA LETTER GE
0xC6F9	U+3053	U+F709	# HIRAGANA LETTER KO
0xC6FA	U+3054	U+F70A	# HIRAGANA LETTER GO
0xC6FB	U+3055	U+F70B	# HIRAGANA LETTER SA
0xC6FC	U+3056	U+F70C	# HIRAGANA LETTER ZA
0xC6FD	U+3057	U+F70D	# HIRAGANA LETTER SI
0xC6FE	U+3058	U+F70E	# HIRAGANA LETTER ZI
0xC740	U+3059	U+F70F	# HIRAGANA LETTER SU
0xC741	U+305A	U+F710	# HIRAGANA LETTER ZU
0xC742	U+305B	U+F711	# HIRAGANA LETTER SE
0xC743	U+305C	U+F712	# HIRAGANA LETTER ZE
0xC744	U+305D	U+F713	# HIRAGANA LETTER SO
0xC745	U+305E	U+F714	# HIRAGANA LETTER ZO
0xC746	U+305F	U+F715	# HIRAGANA LETTER TA
0xC747	U+3060	U+F716	# HIRAGANA LETTER DA
0xC748	U+3061	U+F717	# HIRAGANA LETTER TI
0xC749	U+3062	U+F718	# HIRAGANA LETTER DI
0xC74A	U+3063	U+F719	# HIRAGANA LETTER SMALL TU
0xC74B	U+3064	U+F71A	# HIRAGANA LETTER TU
0xC74C	U+3065	U+F71B	# HIRAGANA LETTER DU
0xC74D	U+3066	U+F71C	# HIRAGANA LETTER TE
0xC74E	U+3067	U+F71D	# HIRAGANA LETTER DE
0xC74F	U+3068	U+F71E	# HIRAGANA LETTER TO
0xC750	U+3069	U+F71F	# HIRAGANA LETTER DO
0xC751	U+306A	U+F720	# HIRAGANA LETTER NA
0xC752	U+306B	U+F721	# HIRAGANA LETTER NI
0xC753	U+306C	U+F722	# HIRAGANA LETTER NU
0xC754	U+306D	U+F723	# HIRAGANA LETTER NE
0xC755	U+306E	U+F724	# HIRAGANA LETTER NO
0xC756	U+306F	U+F725	# HIRAGANA LETTER HA
0xC757	U+3070	U+F726	# HIRAGANA LETTER BA
0xC758	U+3071	U+F727	# HIRAGANA LETTER PA
0xC759	U+3072	U+F728	# HIRAGANA LETTER HI
0xC75A	U+3073	U+F729	# HIRAGANA LETTER BI
0xC75B	U+3074	U+F72A	# HIRAGANA LETTER PI
0xC75C	U+3075	U+F72B	# HIRAGANA LETTER HU
0xC75D	U+3076	U+F72C	# HIRAGANA LETTER BU
0xC75E	U+3077	U+F72D	# HIRAGANA LETTER PU
0xC75F	U+3078	U+F72E	# HIRAGANA LETTER HE
0xC760	U+3079	U+F72F	# HIRAGANA LETTER BE
0xC761	U+307A	U+F730	# HIRAGANA LETTER PE
0xC762	U+307B	U+F731	# HIRAGANA LETTER HO
0xC763	U+307C	U+F732	# HIRAGANA LETTER BO
0xC764	U+307D	U+F733	# HIRAGANA LETTER PO
0xC765	U+307E	U+F734	# HIRAGANA LETTER MA
0xC766	U+307F	U+F735	# HIRAGANA LETTER MI
0xC767	U+3080	U+F736	# HIRAGANA LETTER MU
0xC768	U+3081	U+F737	# HIRAGANA LETTER ME
0xC769	U+3082	U+F738	# HIRAGANA LETTER MO
0xC76A	U+3083	U+F739	# HIRAGANA LETTER SMALL YA
