#台語教典 = 教育部《臺灣閩南語常用詞辭典》 https://twblg.dict.edu.tw/
#客語教典 = 教育部《臺灣客家語常用詞辭典》 https://hakka.dict.edu.tw/
#以上為 創用CC 姓名標示-禁止改作 3.0 授權
#非屬以上兩典，標註有「再會豆腐字」 的字，來自 https://tauhu.tw/jit-tsi/ 蒐集的結果
#Char	Unicode	Big5	Memo
伸	4F38	V	台語教典、客語教典
伺	4F3A	V	客語教典
伻	4F3B	V	台語教典
似	4F3C	V	台語教典、客語教典
伽	4F3D	V	客語教典
佃	4F43	V	台語教典、客語教典
但	4F46	V	台語教典、客語教典
佇	4F47	V	台語教典、客語教典
佈	4F48	V	台語教典、客語教典
位	4F4D	V	台語教典、客語教典
低	4F4E	V	台語教典、客語教典
住	4F4F	V	台語教典、客語教典
佐	4F50	V	台語教典、客語教典
佑	4F51	V	台語教典、客語教典
佔	4F54	V	台語教典
何	4F55	V	台語教典、客語教典
佗	4F57	V	台語教典、客語教典
佘	4F58	V	台語教典
余	4F59	V	台語教典、客語教典
佛	4F5B	V	台語教典、客語教典
作	4F5C	V	台語教典、客語教典
佟	4F5F	V	台語教典
你	4F60	V	台語教典、客語教典
佢	4F62	V	客語教典
佣	4F63	V	客語教典
佩	4F69	V	台語教典、客語教典
佬	4F6C	V	台語教典
佮	4F6E	V	台語教典
佯	4F6F	V	台語教典
佰	4F70	V	客語教典
佳	4F73	V	台語教典、客語教典
併	4F75	V	台語教典、客語教典
使	4F7F	V	台語教典、客語教典
來	4F86	V	台語教典、客語教典
侈	4F88	V	客語教典
例	4F8B	V	台語教典、客語教典
侍	4F8D	V	台語教典、客語教典
侖	4F96	V	客語教典
侗	4F97	V	台語教典
供	4F9B	V	台語教典、客語教典
依	4F9D	V	台語教典、客語教典
侮	4FAE	V	台語教典、客語教典
侯	4FAF	V	台語教典、客語教典
侵	4FB5	V	台語教典、客語教典
侷	4FB7	V	台語教典
侹	4FB9	V	台語教典
便	4FBF	V	台語教典、客語教典
係	4FC2	V	台語教典、客語教典
促	4FC3	V	台語教典、客語教典
俄	4FC4	V	台語教典、客語教典
俊	4FCA	V	台語教典、客語教典
俍	4FCD	V	台語教典
俏	4FCF	V	台語教典
俐	4FD0	V	台語教典、客語教典
俗	4FD7	V	台語教典、客語教典
俘	4FD8	V	台語教典、客語教典
俚	4FDA	V	台語教典、客語教典
保	4FDD	V	台語教典、客語教典
俞	4FDE	V	台語教典、客語教典
俠	4FE0	V	台語教典、客語教典
信	4FE1	V	台語教典、客語教典
修	4FEE	V	台語教典、客語教典
俯	4FEF	V	台語教典、客語教典
俱	4FF1	V	台語教典、客語教典
俳	4FF3	V	台語教典
俸	4FF8	V	台語教典、客語教典
俺	4FFA	V	台語教典
倆	5006	V	台語教典、客語教典
倈	5008		客語教典
倉	5009	V	台語教典、客語教典
個	500B	V	台語教典、客語教典
倌	500C	V	台語教典
倍	500D	V	台語教典、客語教典
倏	500F	V	台語教典
們	5011	V	客語教典
倒	5012	V	台語教典、客語教典
倔	5014	V	客語教典
倖	5016	V	台語教典、客語教典
候	5019	V	台語教典、客語教典
倚	501A	V	台語教典、客語教典
借	501F	V	台語教典、客語教典
倡	5021	V	台語教典、客語教典
倦	5026	V	台語教典、客語教典
倩	5029	V	台語教典、客語教典
倪	502A	V	台語教典、客語教典
倫	502B	V	台語教典、客語教典
倭	502D	V	台語教典、客語教典
倯	502F	V	台語教典
倲	5032		再會豆腐字：客語閱讀越懂
值	503C	V	台語教典、客語教典
偃	5043	V	台語教典
假	5047	V	台語教典、客語教典
偉	5049	V	台語教典、客語教典
偌	504C	V	台語教典
偎	504E	V	客語教典
偏	504F	V	台語教典、客語教典
偕	5055	V	台語教典、客語教典
做	505A	V	台語教典、客語教典
停	505C	V	台語教典、客語教典
偝	505D	V	台語教典
健	5065	V	台語教典、客語教典
側	5074	V	台語教典、客語教典
偵	5075	V	台語教典、客語教典
偶	5076	V	台語教典、客語教典
偷	5077	V	台語教典、客語教典
偽	507D	V	台語教典、客語教典
傀	5080	V	台語教典、客語教典
傅	5085	V	台語教典、客語教典
傍	508D	V	台語教典、客語教典
傑	5091	V	台語教典、客語教典
傖	5096	V	台語教典
傘	5098	V	台語教典
備	5099	V	台語教典、客語教典
傢	50A2	V	台語教典、客語教典
傪	50AA		客語教典
催	50AC	V	台語教典、客語教典
傱	50B1	V	台語教典
傲	50B2	V	台語教典、客語教典
傳	50B3	V	台語教典、客語教典
債	50B5	V	台語教典、客語教典
傷	50B7	V	台語教典、客語教典
傾	50BE	V	台語教典、客語教典
僅	50C5	V	客語教典
僆	50C6	V	台語教典、客語教典
